participant_id,n_clicks,nll,aic,bic,accuracy,converged,fit_time_s,k_field,omega_base,zeta,m0,gain,a_sensitivity,temperature
mmgq3qou4vm7p2,1153,737.557681702392,1489.115363404784,1524.4662210466674,0.603642671292281,False,281.46001505851746,5.002295853674469,1.6316452675688606,0.912883595888874,8.249889557533722,0.06727389404866733,0.4641348904570733,0.34258739647688224
mmgqyc7o5z5lol,1025,656.4829955561969,1326.9659911123938,1361.4931263534013,0.6117073170731707,False,276.2438232898712,9.445658982012294,1.7044233855332624,3.0598195130110764,7.145026696323342,0.024455845233264308,0.40684219767096125,0.5566463989230022
mmgr4s18tb01tn,1016,594.8084272964377,1203.6168545928754,1238.0822549898444,0.6958661417322834,False,282.60487389564514,0.962003538314975,1.2155283021612913,4.998640986867068,0.5,0.06466268867485996,0.3,0.15297891942334982
mmgr4wtlbsgksz,956,612.1261109415377,1238.2522218830754,1272.2915272744353,0.6119246861924686,False,274.61662197113037,8.350729077623404,1.9303374070638195,0.2646590117496122,1.4162119405698435,0.028244434823085147,0.8228754151695066,0.5734537104771802
mmgr8c41e95y48,683,439.7931232128099,893.5862464256198,925.2717104426154,0.6207906295754027,False,240.90213108062744,9.445725720040903,1.9841660450263412,1.9416656379910673,0.5,2.750640473957435,0.33919214739071013,0.28609960431978276
mmh0l2c7qmhy45,1027,656.9515063852102,1327.9030127704204,1362.4437932399203,0.634858812074002,False,276.83949732780457,7.4572969082522835,1.7082094239360062,2.3604646826495745,6.051671524928962,0.27251963520667793,0.48089463093595036,0.6981903110982542
mmh0l48dxf0unl,876,575.4984133737775,1164.996826747555,1198.4243893841096,0.569634703196347,False,264.13048005104065,6.571786998375753,1.082357679818182,2.0044800770771825,9.176389167493895,0.38314143977610066,0.35904973428987946,0.5796844781000731
mmh0le5hzjr146,994,591.2514086613118,1196.5028173226235,1230.8149777692195,0.6579476861167002,False,304.7344858646393,8.641908837325326,1.825037805800966,4.979731564139281,4.055682918211411,0.19229022915570038,1.0159283816525382,0.5297155135997275
mmh0lgopisagl1,905,556.4927968308955,1126.985593661791,1160.6411382676904,0.6828729281767956,True,270.62191820144653,8.775413669443692,1.7531639041907305,2.0116349714623096,4.661230582955957,0.06866416927658296,2.3350495633647825,0.7547724812550393
mmh0lku3somrj2,1001,664.0843843751818,1342.1687687503636,1376.5300522055702,0.5864135864135864,True,305.40988421440125,9.645157376683573,0.24944169314113282,0.1,10.0,2.2076659720376353,0.35547273412480723,0.45705219591526386
mmh0lpcdg8sc9d,350,221.56386953305466,457.1277390661093,484.13327114749353,0.5314285714285715,False,212.41682195663452,1.3311077688897226,1.7819629991161494,0.1,9.996909104475417,0.038433184231016486,0.46300587517272945,0.3693072115130299
mmh0m3laciusns,1045,622.444936081095,1258.88987216219,1293.5522773129824,0.6870813397129186,True,238.68281602859497,5.799560380517581,1.2839079174322126,4.334448037200327,0.91926565945157,0.14337298345053429,0.9820594115216197,0.48151472138379087
mmh0mm0slxu2c6,1003,652.6150503447009,1319.2301006894018,1353.6053562051352,0.617148554336989,True,318.706839799881,0.9769171945749422,0.40954256929027844,4.9739885082871105,0.5063676825500141,0.0007172868502836895,1.0113501360563288,0.2964775766803638
mmh0mmpthv6747,494,331.5646666228861,677.1293332457722,706.5470818660876,0.5506072874493927,True,221.08456087112427,9.99694312082868,1.999234415173345,0.1000477086640895,0.6628631086993879,1.3024226123964096,2.111360598779541,0.39736953067985886
mmh0nnjgngklw9,1231,746.6128109563557,1507.2256219127114,1543.0346967960027,0.6742485783915516,False,293.53125977516174,9.039412575506926,0.7970983963344086,3.1698360730656314,5.523290598579181,0.0078185837932999,0.3,0.2965383503270677
mmh0ocgvq48nmw,990,610.5910880818108,1235.1821761636215,1269.466110765522,0.6575757575757576,False,272.9349901676178,2.050760115241221,0.9889893274894905,0.3113266036347784,7.2235589463480485,0.0029905032362761933,0.3,0.24598155299763996
mmh0opq7ik4vq9,918,518.0515489498,1050.1030978996,1083.8584796339435,0.690631808278867,True,194.88955688476562,6.072501663441175,0.5740044674366143,1.7009199297755684,9.419361498546943,0.04724113489160118,0.6123283219857777,0.2782589101529317
mmh0ozswyuhptg,1013,647.8050657023557,1309.6101314047114,1344.0548319344523,0.6209279368213229,True,229.19884300231934,8.55236262373289,0.646453065646449,0.31162045943033795,9.87187487856773,0.00897949254641324,0.3,0.29517798377075927
mmh0pa4lqweccy,895,545.0940623598527,1104.1881247197055,1137.7658907476293,0.6513966480446928,True,207.8316102027893,7.22302328661158,1.1255931571698208,2.7625752766616314,4.000179402830278,0.0019749131559009055,0.7403875720137121,0.35122458226103537
mmh0pj6zzym52u,1241,721.5831382740745,1457.166276548149,1493.0319860445811,0.6905721192586624,True,304.77110409736633,5.372425599325491,0.8078231216500653,4.994554506210834,9.009678006575061,0.009033794908385085,3.0,0.50627001926586
mmh0pjhq4si99l,732,462.17588703814556,938.3517740762911,970.5222376740203,0.639344262295082,True,221.3468337059021,3.3051573975273394,1.0053791585330767,0.9794693587296495,9.59422704266394,0.0,1.967639813725746,0.6318317094677708
mmh0puch8ryw6q,892,569.0259097425386,1152.0518194850772,1185.6060824131373,0.6378923766816144,True,198.74291896820068,8.063827923298112,1.3636900081403445,1.078008859985818,9.802364585307378,0.4199897645791793,3.0,0.5012386260612095
mmh0r154q42czx,1177,695.218829601664,1404.437659203328,1439.9327279541499,0.6966864910790145,True,246.5355200767517,7.066310277218998,0.9782061599164652,3.8387407069862522,7.714123238385919,0.15044108059994593,0.34622513380939623,0.2604035585195139
mmh0r34ra4dkeq,918,580.6638277478696,1175.3276554957392,1209.0830372300827,0.6416122004357299,True,240.5199580192566,5.432390426253678,1.8034914562022735,2.1905551981180467,8.100150939689152,0.9401472418381671,2.0692409044955635,0.35386664165597925
mmh0rqn7w97bj1,653,418.95807805840275,851.9161561168055,883.2871960217406,0.6462480857580398,False,258.43243288993835,6.793700529898526,0.9840448768857493,0.17799512674850074,8.705339565182939,0.0,2.9898924944648133,0.6320195449290326
mmh0tro0xy62is,950,584.328329614328,1182.656659228656,1216.6518931208182,0.6789473684210526,True,149.30693411827087,6.653611263328373,1.7441706060292,3.56884861705876,6.285242357173405,0.16431318772191256,1.7543910089774457,0.49993135840221326
